"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","Create file","LMS service","Mon Feb 16 08:19:11 UTC 2026","passed","Mon Feb 16 08:19:11 UTC 2026","Create entity","Files","",""
"","14","Get file","LMS service","Mon Feb 16 08:19:12 UTC 2026","passed","Mon Feb 16 08:19:12 UTC 2026","Get entity","Files","",""
"","299","Create file with empty filename","LMS service","Mon Feb 16 08:19:13 UTC 2026","passed","Mon Feb 16 08:19:13 UTC 2026","Validate entity","Files","",""
"","12","Get user me","LMS service","Mon Feb 16 08:19:15 UTC 2026","passed","Mon Feb 16 08:19:15 UTC 2026","Get entity","Users","",""
"","599","Create user","LMS service","Mon Feb 16 08:19:14 UTC 2026","passed","Mon Feb 16 08:19:14 UTC 2026","Create entity","Users","",""
"","29","Get courses","LMS service","Mon Feb 16 08:19:05 UTC 2026","passed","Mon Feb 16 08:19:05 UTC 2026","Get entities","Courses","",""
"","327","Delete exercise","LMS service","Mon Feb 16 08:19:10 UTC 2026","passed","Mon Feb 16 08:19:11 UTC 2026","Delete entity","Exercises","",""
"","302","Get file with incorrect file id","LMS service","Mon Feb 16 08:19:14 UTC 2026","passed","Mon Feb 16 08:19:14 UTC 2026","Validate entity","Files","",""
"","21","Update exercise","LMS service","Mon Feb 16 08:19:10 UTC 2026","passed","Mon Feb 16 08:19:10 UTC 2026","Update entity","Exercises","",""
"","17","Get exercises","LMS service","Mon Feb 16 08:19:08 UTC 2026","passed","Mon Feb 16 08:19:08 UTC 2026","Get entities","Exercises","",""
"","623","Login with correct email and password","LMS service","Mon Feb 16 08:19:05 UTC 2026","passed","Mon Feb 16 08:19:05 UTC 2026","Login","Authentication","",""
"","20","Create file with empty directory","LMS service","Mon Feb 16 08:19:13 UTC 2026","passed","Mon Feb 16 08:19:13 UTC 2026","Validate entity","Files","",""
"","27","Get exercise","LMS service","Mon Feb 16 08:19:09 UTC 2026","passed","Mon Feb 16 08:19:09 UTC 2026","Get entity","Exercises","",""
"","19","Delete file","LMS service","Mon Feb 16 08:19:12 UTC 2026","passed","Mon Feb 16 08:19:12 UTC 2026","Delete entity","Files","",""
"","27","Create course","LMS service","Mon Feb 16 08:19:06 UTC 2026","passed","Mon Feb 16 08:19:06 UTC 2026","Create entity","Courses","",""
"","626","Create user","LMS service","Mon Feb 16 08:19:14 UTC 2026","passed","Mon Feb 16 08:19:15 UTC 2026","Create entity","Users","",""
"","24","Create exercise","LMS service","Mon Feb 16 08:19:08 UTC 2026","passed","Mon Feb 16 08:19:08 UTC 2026","Create entity","Exercises","",""
"","26","Update course","LMS service","Mon Feb 16 08:19:07 UTC 2026","passed","Mon Feb 16 08:19:07 UTC 2026","Update entity","Courses","",""
"","606","Create user","LMS service","Mon Feb 16 08:19:13 UTC 2026","passed","Mon Feb 16 08:19:14 UTC 2026","Create entity","Users","",""
