"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Create file with empty directory","LMS service","Mon Feb 16 08:57:45 UTC 2026","passed","Mon Feb 16 08:57:45 UTC 2026","Validate entity","Files","",""
"","19","Create file","LMS service","Mon Feb 16 08:57:43 UTC 2026","passed","Mon Feb 16 08:57:43 UTC 2026","Create entity","Files","",""
"","30","Create course","LMS service","Mon Feb 16 08:57:39 UTC 2026","passed","Mon Feb 16 08:57:39 UTC 2026","Create entity","Courses","",""
"","17","Get exercises","LMS service","Mon Feb 16 08:57:40 UTC 2026","passed","Mon Feb 16 08:57:40 UTC 2026","Get entities","Exercises","",""
"","20","Delete file","LMS service","Mon Feb 16 08:57:44 UTC 2026","passed","Mon Feb 16 08:57:44 UTC 2026","Delete entity","Files","",""
"","27","Get exercise","LMS service","Mon Feb 16 08:57:41 UTC 2026","passed","Mon Feb 16 08:57:42 UTC 2026","Get entity","Exercises","",""
"","553","Login with correct email and password","LMS service","Mon Feb 16 08:57:37 UTC 2026","passed","Mon Feb 16 08:57:38 UTC 2026","Login","Authentication","",""
"","15","Get file","LMS service","Mon Feb 16 08:57:44 UTC 2026","passed","Mon Feb 16 08:57:44 UTC 2026","Get entity","Files","",""
"","530","Create user","LMS service","Mon Feb 16 08:57:46 UTC 2026","passed","Mon Feb 16 08:57:46 UTC 2026","Create entity","Users","",""
"","12","Get user me","LMS service","Mon Feb 16 08:57:47 UTC 2026","passed","Mon Feb 16 08:57:47 UTC 2026","Get entity","Users","",""
"","529","Create user","LMS service","Mon Feb 16 08:57:45 UTC 2026","passed","Mon Feb 16 08:57:46 UTC 2026","Create entity","Users","",""
"","34","Update course","LMS service","Mon Feb 16 08:57:39 UTC 2026","passed","Mon Feb 16 08:57:39 UTC 2026","Update entity","Courses","",""
"","290","Update exercise","LMS service","Mon Feb 16 08:57:42 UTC 2026","passed","Mon Feb 16 08:57:42 UTC 2026","Update entity","Exercises","",""
"","25","Create exercise","LMS service","Mon Feb 16 08:57:40 UTC 2026","passed","Mon Feb 16 08:57:40 UTC 2026","Create entity","Exercises","",""
"","262","Create file with empty filename","LMS service","Mon Feb 16 08:57:45 UTC 2026","passed","Mon Feb 16 08:57:45 UTC 2026","Validate entity","Files","",""
"","290","Delete exercise","LMS service","Mon Feb 16 08:57:42 UTC 2026","passed","Mon Feb 16 08:57:43 UTC 2026","Delete entity","Exercises","",""
"","31","Get courses","LMS service","Mon Feb 16 08:57:38 UTC 2026","passed","Mon Feb 16 08:57:38 UTC 2026","Get entities","Courses","",""
"","267","Get file with incorrect file id","LMS service","Mon Feb 16 08:57:46 UTC 2026","passed","Mon Feb 16 08:57:46 UTC 2026","Validate entity","Files","",""
"","558","Create user","LMS service","Mon Feb 16 08:57:46 UTC 2026","passed","Mon Feb 16 08:57:47 UTC 2026","Create entity","Users","",""
